batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
509,76,5,60,19,158,24,199,3,253,1,251,61,68,39,41,2,208,9,7,2,3
510,83,25,48,2,247,36,98,5,12,254,10,58,69,41,18,44,214,0,0,0,3
510,82,25,50,2,246,48,108,5,15,253,10,58,69,41,19,44,213,0,1,1,3
510,77,23,59,3,3,81,70,247,20,248,7,58,69,42,28,40,207,1,3,1,3
510,72,15,66,9,192,24,147,235,10,255,5,58,68,42,22,44,207,255,1,2,3
510,64,15,73,11,190,35,141,23,255,10,0,61,66,41,40,41,206,10,5,13,3
511,84,30,43,1,37,98,127,0,14,244,22,56,68,39,11,46,225,2,1,1,3
511,84,29,45,1,34,93,95,247,19,244,22,56,68,39,11,48,223,3,2,1,3
511,79,15,58,10,173,24,179,233,14,1,16,56,69,40,250,54,214,2,6,4,3
512,84,30,43,4,4,66,114,5,11,250,30,54,69,35,252,37,225,1,253,3,3
512,84,30,44,4,255,67,91,254,13,249,30,54,69,35,252,37,225,2,254,4,3
512,80,21,54,7,202,31,216,241,12,252,24,59,67,35,249,80,209,4,4,10,3
512,78,16,58,13,155,21,150,245,1,7,18,61,66,37,5,66,219,8,10,4,3
513,81,34,45,254,27,70,110,6,9,248,70,55,43,2,217,36,20,253,2,252,3
513,81,34,46,253,6,65,79,253,10,249,70,55,43,2,214,35,20,254,3,252,3
513,79,26,53,1,161,26,196,245,6,252,65,57,48,3,222,24,31,16,12,4,3
513,78,22,57,3,129,255,172,250,2,254,52,67,51,3,230,36,213,29,20,6,3
513,76,20,60,1,210,14,6,255,255,255,27,76,56,9,7,48,163,11,23,0,3
513,77,20,60,3,197,37,6,252,255,2,22,72,63,15,0,29,208,246,12,237,3
514,82,32,46,255,4,76,116,7,6,253,71,49,48,5,218,32,8,4,2,255,3
514,81,33,46,255,1,93,122,4,6,254,71,49,48,5,218,35,7,5,2,255,3
514,82,27,49,2,212,29,246,245,8,250,64,56,51,4,211,42,27,20,9,7,3
514,81,21,53,5,148,247,158,245,2,2,51,67,52,3,231,42,231,31,10,6,3
515,65,11,73,15,163,41,129,235,254,5,20,55,73,32,3,41,210,1,2,0,3
515,64,9,73,18,179,47,128,226,251,10,20,55,73,32,4,42,208,1,3,0,3
515,70,3,62,32,29,240,174,6,231,248,18,54,74,33,6,29,202,254,1,252,3
515,75,19,58,21,248,86,90,37,244,11,20,53,74,33,8,54,192,249,247,252,3
516,64,7,74,15,185,29,160,246,4,252,33,59,69,25,247,41,211,1,2,0,3
516,63,6,75,16,177,18,128,238,3,253,33,59,69,25,247,42,210,1,2,0,3
516,63,252,71,28,253,27,128,245,236,248,32,58,69,25,246,49,204,254,254,255,3
516,74,8,64,16,13,87,100,52,223,5,36,57,68,25,254,77,150,237,238,246,3
517,69,7,68,17,194,22,0,255,0,255,14,53,75,34,10,39,206,255,255,255,3
517,69,7,69,17,194,21,255,255,0,255,14,53,75,34,10,39,206,255,255,255,3
517,69,7,69,17,195,20,1,255,0,0,14,53,75,34,10,39,206,255,0,0,3
517,69,7,69,17,196,22,1,255,0,255,14,53,75,34,10,38,206,255,0,0,3
517,69,6,69,17,192,24,243,255,0,255,13,53,75,34,11,38,206,255,255,255,3
518,58,0,78,18,193,4,128,238,253,1,2,48,78,38,27,31,207,255,0,0,3
518,58,254,78,20,199,251,128,232,253,2,2,48,78,38,26,35,205,255,0,255,3
518,62,251,73,26,26,36,228,33,226,254,3,48,78,38,25,40,199,254,252,254,3
518,74,19,63,7,253,119,127,29,233,7,11,48,78,37,63,46,194,247,238,244,3
518,78,31,52,5,226,113,102,253,4,250,23,45,78,35,5,38,227,248,236,237,3
518,77,27,56,3,233,37,49,255,7,246,42,37,77,27,213,25,229,252,234,240,3
519,61,0,76,18,195,18,243,255,0,0,254,46,79,38,26,35,208,255,255,255,3
519,61,0,76,18,195,18,243,255,0,0,254,46,79,38,26,35,207,255,255,255,3
519,61,0,76,18,197,17,245,255,255,255,254,46,79,38,26,35,207,255,0,0,3
519,61,0,76,19,196,18,244,255,255,0,254,46,79,38,25,34,207,255,0,0,3
519,61,0,76,19,196,18,245,255,255,0,254,47,79,38,26,34,207,255,0,0,3
519,61,0,76,19,196,17,243,0,0,255,254,47,79,38,25,34,206,255,255,255,3
519,61,0,76,19,196,17,242,255,0,0,254,47,79,38,25,35,208,255,0,0,3
519,61,0,76,19,195,19,244,255,0,0,254,47,79,39,28,35,206,255,0,0,3
519,61,0,76,19,196,17,244,255,0,255,254,47,79,38,26,34,208,255,255,255,3
519,61,0,76,19,195,18,243,255,0,0,254,47,79,38,26,34,207,255,0,0,3
519,61,0,76,19,197,18,241,255,0,255,254,47,79,39,25,33,208,255,255,255,3
519,60,255,76,19,197,10,199,252,3,254,254,47,79,38,25,33,208,255,0,0,3
519,56,248,78,24,7,199,128,232,250,1,253,47,78,39,25,34,207,0,2,1,3
519,63,255,72,25,48,106,8,48,220,10,252,46,78,39,35,34,202,254,0,0,3
519,70,30,62,8,245,127,127,28,244,1,0,47,78,39,56,43,203,251,241,248,3
519,71,37,59,4,209,102,45,254,10,249,13,45,80,35,253,35,213,252,237,240,3
519,68,34,63,4,204,45,19,254,3,253,23,42,81,31,211,29,218,255,242,252,3
520,57,252,75,32,200,22,243,254,0,255,252,52,78,32,25,26,202,0,1,0,3
520,57,252,75,32,199,23,243,254,0,255,252,52,78,32,25,26,202,255,0,0,3
520,56,251,75,32,197,24,244,255,0,255,253,52,78,32,25,26,201,255,254,255,3
520,56,251,75,32,199,24,244,255,0,255,253,52,78,32,25,26,201,0,0,0,3
520,56,250,75,33,199,25,244,255,0,255,253,52,78,32,25,26,202,255,0,0,3
520,56,249,75,33,200,25,244,255,0,255,253,52,78,32,25,26,202,255,255,255,3
520,56,249,75,33,199,24,244,254,0,255,253,52,78,32,25,26,202,255,0,255,3
520,56,248,75,33,197,18,236,255,0,255,253,52,78,32,25,26,202,255,0,0,3
520,55,248,75,33,197,19,243,0,255,0,253,52,78,32,24,26,202,255,255,255,3
520,56,249,74,34,197,27,239,0,0,0,254,53,78,32,23,26,201,255,255,255,3
520,56,249,75,34,199,28,240,0,255,0,254,53,78,32,23,27,201,255,255,255,3
520,55,250,75,33,207,22,237,1,0,0,255,53,78,32,23,27,201,255,255,255,3
520,55,251,76,33,202,31,248,1,255,1,0,53,78,31,22,28,201,255,254,255,3
520,55,253,76,33,199,28,243,1,0,0,0,53,78,31,20,29,201,255,254,255,3
520,55,254,76,32,188,24,236,1,255,1,1,53,78,31,18,29,200,255,254,255,3
520,55,255,76,31,203,23,5,3,254,0,3,53,78,30,15,29,200,254,252,254,3
520,57,2,75,30,219,52,61,13,245,8,6,54,78,30,13,30,204,255,253,0,3
520,56,20,77,20,217,127,117,18,13,255,5,54,78,30,13,29,199,1,3,0,3
520,48,255,78,38,173,254,128,194,23,243,1,53,78,31,3,39,186,1,6,2,3
520,47,242,78,37,27,234,0,25,251,247,0,55,76,33,250,29,206,252,3,11,3
521,39,223,77,36,201,20,230,255,255,255,246,57,72,36,36,22,205,255,255,0,3
521,39,223,77,36,201,18,229,255,255,255,246,57,72,36,36,22,205,255,255,0,3
521,40,223,76,37,203,16,231,255,254,0,246,57,72,36,36,22,205,255,0,255,3
521,41,223,75,37,200,19,230,0,255,255,247,58,72,35,35,22,205,255,255,255,3
521,41,223,75,37,204,18,230,0,255,255,247,58,72,35,35,22,205,255,255,255,3
521,41,223,75,37,204,16,227,0,255,255,247,58,72,35,35,23,205,255,255,255,3
522,38,222,77,35,2,234,128,255,8,250,249,59,71,35,34,15,206,0,0,255,3
522,37,220,78,33,49,190,128,5,3,250,249,59,71,35,32,20,204,0,1,255,3
522,39,226,84,20,196,59,171,30,249,10,251,59,72,35,23,56,180,249,245,250,3
523,44,226,77,32,199,15,233,0,253,0,7,47,81,32,13,34,203,255,0,0,3
523,45,226,77,33,197,16,234,255,253,0,7,47,81,32,13,34,203,0,1,0,3
523,46,227,76,34,201,14,236,255,253,0,6,47,81,32,15,34,203,255,0,0,3
524,48,228,74,36,197,15,237,255,255,0,6,48,80,33,14,34,203,255,255,255,3
524,48,228,74,36,197,15,238,255,255,0,6,48,80,33,14,34,203,255,0,0,3
524,48,228,74,36,198,14,237,0,0,0,6,48,80,33,14,34,203,255,255,255,3
524,48,229,74,36,198,15,239,255,255,0,6,48,80,33,14,34,203,255,0,255,3
524,48,229,74,36,200,14,237,0,255,0,6,48,80,33,14,34,203,255,0,255,3
524,48,229,74,36,198,14,235,1,255,0,6,48,80,33,14,34,203,255,255,255,3
524,49,230,75,35,196,14,235,0,255,0,6,48,80,33,14,34,203,255,255,255,3
524,50,233,75,35,196,16,239,1,253,1,7,48,80,33,12,35,203,255,255,255,3
524,50,233,75,35,196,18,242,1,253,1,7,48,80,33,12,35,203,255,255,255,3
524,51,236,75,35,199,20,245,1,254,1,8,48,80,33,11,35,203,255,254,255,3
524,52,237,75,35,197,21,245,1,254,1,9,48,80,32,10,36,204,255,254,255,3
524,52,238,75,35,199,18,245,1,255,0,10,47,80,32,9,36,204,255,254,255,3
524,53,239,75,34,199,19,248,1,255,0,11,47,80,32,7,36,205,255,254,255,3
524,53,240,75,34,205,19,1,2,255,0,11,47,80,32,6,36,205,255,0,0,3
524,54,243,76,31,223,53,83,21,5,252,11,47,80,32,9,37,203,0,1,0,3
524,53,247,81,19,181,127,36,250,5,250,9,47,80,32,8,38,203,0,1,0,3
524,51,240,76,35,137,170,128,225,248,5,8,48,80,33,229,45,211,2,5,12,3
525,43,243,66,59,209,42,9,0,0,255,22,55,71,36,2,45,212,255,0,255,3
525,43,243,66,59,209,41,7,0,0,255,22,55,71,36,3,45,212,255,0,0,3
525,43,242,66,58,207,40,4,0,0,255,21,55,71,36,5,45,210,255,0,0,3
525,43,242,66,58,203,40,1,255,0,255,21,55,71,36,4,45,210,255,0,0,3
525,43,241,67,58,207,38,2,0,0,255,21,55,71,36,5,45,211,255,255,255,3
525,43,241,67,57,206,40,7,0,0,255,22,55,71,36,3,45,213,255,0,255,3
525,43,240,67,57,205,41,3,255,0,255,21,55,71,36,4,45,211,0,0,0,3
525,43,240,67,57,202,41,255,255,255,255,21,55,71,36,5,45,210,255,0,255,3
525,43,240,67,57,205,37,255,0,0,255,21,55,71,36,4,45,210,255,255,255,3
525,43,240,67,57,206,37,1,0,0,255,22,55,71,36,3,44,214,255,255,255,3
525,43,240,67,57,206,38,1,0,0,0,22,55,71,36,3,45,211,255,0,255,3
525,43,240,68,56,207,40,2,0,0,255,22,55,71,36,3,45,212,255,0,0,3
525,43,240,68,56,203,41,253,255,255,0,22,55,71,36,4,45,210,255,0,0,3
525,43,240,68,56,201,40,251,0,255,255,22,55,71,36,4,46,210,255,255,255,3
525,43,240,68,56,204,31,5,1,255,0,23,54,71,35,2,45,212,254,253,254,3
525,44,242,69,54,218,42,94,11,0,2,25,54,71,35,0,44,218,255,255,255,3
525,43,247,76,47,190,127,127,16,12,252,24,54,71,35,2,52,210,1,1,0,3
525,38,238,69,58,227,5,128,217,251,2,23,55,71,35,217,50,229,4,4,9,3
525,31,236,63,67,202,0,164,12,4,3,16,60,68,37,252,57,222,1,5,16,3
525,33,236,73,54,1,41,19,11,3,250,9,63,66,38,47,246,207,4,6,253,3
526,44,232,63,57,205,32,3,1,255,0,24,60,67,34,5,44,210,255,255,255,3
526,44,232,64,57,203,32,1,1,255,0,24,60,67,34,4,44,211,255,255,255,3
526,44,233,64,57,203,29,251,1,255,0,24,60,67,34,4,45,211,255,255,255,3
526,45,234,65,56,203,33,1,1,255,0,25,60,67,34,4,45,211,255,255,255,3
527,45,234,65,56,196,31,253,1,255,255,29,59,66,32,254,48,213,254,254,254,3
527,47,236,66,53,194,29,252,1,254,0,30,59,66,32,253,48,213,254,253,254,3
527,48,238,66,52,197,29,3,2,254,0,33,58,66,31,252,49,213,253,251,253,3
527,49,239,68,51,211,32,61,8,3,255,37,57,65,30,245,46,224,253,251,253,3
527,49,241,70,48,166,90,107,2,0,2,39,57,65,29,241,51,227,0,0,255,3
527,49,239,66,53,198,74,1,241,3,247,38,57,65,29,242,49,223,1,3,1,3
527,48,231,61,56,219,4,169,239,252,254,34,58,66,30,225,43,229,6,8,8,3
527,46,228,57,61,226,5,214,253,0,2,22,63,65,32,247,69,209,8,9,12,3
528,44,229,60,59,199,32,6,0,255,255,17,56,70,39,12,45,210,254,253,253,3
528,44,229,60,59,201,31,8,0,0,255,17,56,70,39,11,45,211,254,252,253,3
528,45,229,60,59,200,29,8,0,0,255,21,55,70,37,5,46,213,254,252,253,3
528,45,229,60,58,197,27,4,0,0,255,24,55,70,36,1,46,213,255,252,254,3
528,45,228,60,58,194,28,4,0,255,255,26,55,70,35,2,48,212,254,252,254,3
528,46,228,60,57,193,28,4,0,255,255,29,54,70,34,254,49,214,253,252,252,3
528,46,228,60,57,192,29,7,0,255,255,33,53,70,32,246,47,215,254,250,251,3
528,47,228,60,56,192,25,4,0,255,255,38,52,70,29,238,46,217,254,247,252,3
528,48,228,60,56,199,21,9,1,255,255,44,52,68,25,229,46,218,254,242,253,3
528,49,229,60,55,210,18,28,2,254,0,52,53,63,19,229,39,231,253,239,254,3
528,50,231,61,54,216,25,91,6,0,3,59,53,57,15,242,66,2,252,242,254,3
528,50,235,62,56,199,64,113,252,1,4,64,50,55,12,203,37,12,252,254,254,3
528,47,232,59,59,212,21,205,244,5,252,63,51,55,13,218,24,25,11,9,6,3
528,44,227,59,60,153,60,142,251,2,2,48,61,59,17,245,21,229,27,25,17,3
528,41,226,60,60,213,17,201,254,255,254,20,70,63,24,19,72,171,18,37,8,3
