batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
538,80,-7,2,59,-8,-3,68,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-47,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-47,-7,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-47,-7,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-47,-7,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-47,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,68,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-2,69,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-2,69,-1,0,-1,77,-30,33,44,-49,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-2,69,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-2,69,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,69,-1,0,0,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-9,-3,69,-1,0,0,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,0,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,0,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,0,77,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,0,76,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-47,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,44,-47,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-47,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-47,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-47,-8,38,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-3,69,-1,0,-1,76,-30,33,44,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-2,69,0,0,-1,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-10,-2,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-2,68,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-3,68,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-3,69,-1,0,-1,76,-30,33,45,-47,-8,37,-1,0,-1,8
538,80,-7,3,59,-9,-2,68,-1,0,-1,76,-30,33,45,-47,-7,37,-1,0,-1,8
538,80,-7,3,59,-9,-2,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,59,-9,-2,69,-1,0,-1,76,-30,33,45,-48,-8,37,-1,0,0,8
538,80,-7,3,58,-9,-2,69,-1,0,-1,76,-30,33,45,-48,-8,38,-1,0,0,8
538,80,-7,3,58,-9,-2,69,-1,0,0,76,-30,33,45,-48,-8,37,-1,0,-1,8
538,80,-7,3,58,-10,-3,69,-1,0,0,76,-30,33,45,-48,-8,37,-1,0,-1,8
